No.of Days,Sun_PosX,Sun_PosY,Sun_PosZ,SunVecX,SunVecY,SunVecZ,SunVec_Mag,X_azi,Y_azi,Z_azi,nX_azi,nY_azi,nZ_azi,X_ele
0,149516877413,4515942102.2,1957690843.5,0.99954418464,0.0301897822393,0.0130874442035,149585065264,1.73000996976,0,0,0,0,0,0.749812509833
1,149412805241,6825130716.69,2958739368.19,0.998958312858,0.0456321068119,0.0197818560396,149568604622,2.61543534882,0,0,0,0,0,1.13326905312
2,149266546656,9129952663.07,3957894879.28,0.998134626742,0.061051346413,0.0264661216929,149545508648,3.50016112281,0,0,0,0,0,1.51604316554
3,149078269860,11429839496.1,4954910952.11,0.997073747643,0.0764456784999,0.033139748904,149515787560,4.38429208994,0,0,0,0,0,1.89807310123
4,148848148770,13724228747.4,5949543752.96,0.99577622292,0.0918134732388,0.0398017075668,149479519516,5.26794348258,0,0,0,0,0,2.2792667825
5,148576362777,16012563764.1,6941551969.35,0.994242569509,0.107152755336,0.0464514583425,149436732475,6.15121023642,0,0,0,0,0,2.65956073627
6,148263096525,18294293540.7,7930696736.9,0.992473196988,0.122462048247,0.0530880819395,149387508016,7.03421577217,0,0,0,0,0,3.03887031892
7,147908539713,20568872543.2,8916741563.09,0.990468522248,0.137739269769,0.0597108904047,149331892991,7.91704857495,0,0,0,0,0,3.41712473722
8,147512886909,22835760526.4,9899452248.33,0.988228821707,0.152982992348,0.0663191340873,149269969767,8.7998351135,0,0,0,0,0,3.79425033462
9,147076337378,25094422347.3,10878596804.8,0.985754407149,0.168191107932,0.0729119360843,149201807119,9.68266287521,0,0,0,0,0,4.17016691582
10,146599094935,27344327773.2,11853945373.2,0.98304543788,0.183362120036,0.079488704029,149127483547,10.5656553875,0,0,0,0,0,4.5448112744
11,146081367810,29584951286.1,12825270138.3,0.980102109371,0.198493967684,0.0860484056922,149047094179,11.4489041665,0,0,0,0,0,4.91809595587
12,145523368536,31815771885.7,13792345243.3,0.976924485006,0.213584996188,0.0925905250985,148960709098,12.332525377,0,0,0,0,0,5.28996375362
