T since,Latitude,Longitude,Altitude,ISS,Latitude,Longitude,Error difference,,,,,,,SGP4 Test,,
0,-11.81544924,-7.805223056,410.2746362,,-11.82,-7.81,0.725512194,,Max,Mean,Min,,,1 25544U 98067A   16302.21085648  .00005394  00000-0  87933-4 0  9991,,
2,51.76817962,63.89935205,405.7817944,,51.76,63.89,1.114209662,,1.536381696,0.850549838,0.044286579,,,2 25544  51.6438 114.5570 0007060 117.7444 227.3654 15.54359703 25674,,
4,-14.50702875,132.4228259,406.9093457,,-14.51,132.42,0.449109817,,,,,,,Singapore UTC+8:,,28/10/2016 13:03
6,-40.19453299,-131.4973736,421.8290602,,-40.2,-131.5,0.647540494,,,,,,,,,
8,37.98868774,-82.40101569,405.1777901,,37.98,-82.41,1.246280937,,,,,,,,,
10,16.92039827,15.33000286,400.3867199,,16.92,15.33,0.044286579,,,,,,,,,
12,-51.51120215,80.46093902,425.5823232,,-51.52,80.46,0.980432335,,,,,,,,,
14,8.864399501,155.2346163,405.5414579,,8.86,155.23,0.704666003,,,,,,,,,
16,43.93489284,-111.6187761,403.4934188,,43.93,-111.62,0.552815756,,,,,,,,,
18,-33.71792606,-61.13052439,415.5898963,,-33.72,-61.14,0.90622056,,,,,,,,,
20,-22.34184431,37.82166597,414.280771,,-22.35,37.82,0.922915325,,,,,,,,,
22,50.20693415,97.05618436,406.202002,,50.2,97.05,0.887828928,,,,,,,,,
24,-3.713228801,178.6231091,403.1133828,,-3.72,178.62,0.828195729,,,,,,,,,
26,-47.16856075,-92.8929827,424.6045162,,-47.17,-92.9,0.554081976,,,,,,,,,
28,28.74595823,-39.72757749,404.8472379,,28.74,-39.73,0.703364033,,,,,,,,,
30,27.22189186,60.32317547,400.6570132,,27.22,60.32,0.377946662,,,,,,,,,
32,-48.06247903,114.8567741,423.2223552,,-48.07,114.85,0.976098789,,,,,,,,,
34,-1.987857813,-158.3587462,407.7581503,,-1.99,-158.36,0.275957136,,,,,,,,,
36,49.62392277,-75.0234476,405.0115732,,49.62,-75.03,0.642690414,,,,,,,,,
38,-23.99118326,-17.28854693,410.4761066,,-24,-17.29,0.991426717,,,,,,,,,
40,-32.19960723,82.00646324,418.4338345,,-32.21,82,1.305856874,,,,,,,,,
42,44.9916174,133.0930989,406.0928451,,44.99,133.09,0.302876276,,,,,,,,,
44,7.155712794,-134.9526685,400.7399885,,7.15,-134.96,1.028499217,,,,,,,,,
46,-51.20027677,-57.95384903,425.7255063,,-51.21,-57.96,1.162999262,,,,,,,,,
48,18.58302607,5.062831893,405.0841912,,18.58,5.06,0.449788965,,,,,,,,,
50,36.63902969,103.4023967,401.9177765,,36.63,103.4,1.026578499,,,,,,,,,
52,-41.50658014,152.863416,419.2990682,,-41.51,152.86,0.474885302,,,,,,,,,
54,-12.76122489,-112.0387854,410.9788127,,-12.77,-112.04,0.984597675,,,,,,,,,
56,51.79739733,-41.52849836,406.1269063,,51.79,-41.53,0.8290028,,,,,,,,,
58,-13.56793459,28.17965876,405.8043639,,-13.57,28.17,1.068989204,,,,,,,,,
60,-40.88447326,123.7890191,422.0538524,,-40.89,123.78,0.975961017,,,,,,,,,
62,37.23829555,172.9731729,405.7082268,,37.23,172.97,0.96424404,,,,,,,,,
64,17.83709897,-88.92955653,399.9161077,,17.83,-88.93,0.790764099,,,,,,,,,
66,-51.36587349,-24.83301659,424.940354,,-51.37,-24.84,0.667507343,,,,,,,,,
68,7.949875523,51.05183131,406.2265946,,7.94,51.05,1.116474383,,,,,,,,,
70,44.52911957,143.5213508,403.6473895,,44.52,143.52,1.019687932,,,,,,,,,
72,-32.94271421,-165.5943119,414.4210465,,-32.95,-165.6,0.968530944,,,,,,,,,
74,-23.18575777,-66.44824523,414.8348736,,-23.19,-66.45,0.504662204,,,,,,,,,
76,49.89862084,-8.107101584,406.645149,,49.89,-8.11,0.980819744,,,,,,,,,
78,-2.815157843,74.47091837,402.2159653,,-2.82,74.47,0.547998595,,,,,,,,,
80,-47.6185487,162.1712287,424.4974536,,-47.62,162.16,0.856935296,,,,,,,,,
82,27.94969024,-144.0636196,405.440829,,27.94,-144.07,1.246524932,,,,,,,,,
84,28.0267284,-44.00472539,400.4638139,,28.02,-44.01,0.909840055,,,,,,,,,
86,-47.64018395,9.91982191,422.3172985,,-47.64,9.91,0.73615676,,,,,,,,,
88,-2.84266565,97.52447137,408.4142429,,-2.85,97.52,0.954830368,,,,,,,,,
90,49.93863821,179.9100145,405.3263598,,49.93,179.9,1.198480605,,,,,,,,,
92,-23.19441608,-121.5261844,409.3406932,,-23.2,-121.53,0.733213431,,,,,,,,,
94,-32.91622859,-22.35433477,418.758447,,-32.92,-22.36,0.674907573,,,,,,,,,
96,44.46720092,28.3448968,406.6102071,,44.46,28.34,0.890025634,,,,,,,,,
98,7.989800731,120.9330625,400.1063352,,7.99,120.93,0.337955034,,,,,,,,,
100,-51.35464019,-163.021205,425.2894735,,-51.36,-163.03,0.8533168,,,,,,,,,
