T since,Latitude,Longitude,Altitude,ISS,Latitude,Longitude,Error,,,,,SGP4 Test,,
0,17.72866096,-93.42560721,403.3254259,,17.55,-93.26,26.50713715,,,,,1 25544U 98067A   16291.11854479  .00010689  00000-0  16758-3 0  9992,,
2,-51.36724,-29.4196027,426.6934914,,-51.4,-29.08,23.84727801,,,,,2 25544  51.6446 169.8664 0007102  80.6091  76.5051 15.54264543 23954,,
4,7.966986043,46.47192015,402.7702651,,8.12,46.62,23.56482053,,,,,Singapore UTC+8:,,17/10/2016 10:50
6,44.50314981,138.9933021,404.7596599,,44.4,139.25,23.3819974,,,,,,,
8,-32.89081566,-170.255869,418.1450535,,-33.01,-170.09,20.37571425,,,,,,,
10,-23.28275128,-71.13691747,412.5709521,,-23.16,-71,19.54626459,,,,,,,
12,49.8813484,-12.79658364,405.0983364,,49.92,-12.54,18.87297551,,,,,,,
14,-2.703161325,69.78936296,406.2633662,,-2.82,69.89,17.13830037,,,,,,,
16,-47.7206133,157.2293487,424.6946089,,-47.68,157.42,14.96506823,,,,,,,
18,27.80136638,-148.8216696,402.1621187,,27.88,-148.71,14.03594185,,,,,,,
20,28.17847852,-48.76600667,403.043656,,28.1,-48.66,13.57163343,,,,,,,
22,-47.50147702,4.853125426,424.9529925,,-47.54,4.99,11.13514346,,,,,,,
24,-3.125401358,92.70856732,405.2694499,,-3.07,92.77,9.191095388,,,,,,,
26,50.02293914,174.8619358,405.3104376,,50,174.98,8.813748747,,,,,,,
28,-22.88631243,-126.4230652,413.2971582,,-22.93,-126.37,7.289715117,,,,,,,
30,-33.25039356,-27.38203964,417.4990275,,-33.23,-27.34,4.519771175,,,,,,,
32,44.25328146,23.23466305,404.1282261,,44.26,23.28,3.687118425,,,,,,,
34,8.360957641,116.0409026,403.6886201,,8.35,116.06,2.428731134,,,,,,,
36,-51.43475877,-168.562686,426.5620673,,-51.44,-168.57,0.772447398,,,,,,,
38,17.36101535,-104.0717349,402.2209166,,17.34,-104.07,2.344044199,,,,,,,
40,37.64123028,-6.177068828,403.5605466,,37.66,-6.2,2.903729614,,,,,,,
42,-40.54129784,42.99566724,421.4887094,,-40.51,42.95,5.197102582,,,,,,,
44,-14.08664479,138.8044617,409.052148,,-14.15,138.77,7.964872816,,,,,,,
46,51.78469409,-152.2379607,405.4195038,,51.78,-152.36,8.411392039,,,,,,,
48,-12.22708699,-80.98414099,408.7210417,,-12.15,-81.04,10.50397579,,,,,,,
50,-41.90303778,13.77816383,421.9298739,,-41.98,13.65,13.62368089,,,,,,,
52,36.12290714,63.25272184,403.1061393,,36.03,63.14,14.46898713,,,,,,,
54,19.18091462,161.8173686,402.4612082,,19.29,161.73,15.20746348,,,,,,,
56,-51.07427303,-135.7994232,426.3913421,,-51.05,-136.06,18.4089395,,,,,,,
58,6.493167131,-58.15320683,403.5312999,,6.34,-58.26,20.72003519,,,,,,,
60,45.41148089,33.24338965,404.3897502,,45.5,33,21.38405209,,,,,,,
62,-31.64181792,84.71906825,416.9132386,,-31.49,84.54,23.9333185,,,,,,,
64,-24.62529386,-175.9280875,413.6539894,,-24.81,-176.1,26.89511571,,,,,,,
66,49.33741249,-118.924365,404.99439,,49.25,-119.29,28.24091844,,,,,,,
68,-1.286028993,-34.76849598,405.0548195,,-1.06,-34.93,30.88771855,,,,,,,
70,-48.38843931,51.35025159,425.125045,,-48.51,50.93,33.81422676,,,,,,,
72,26.52108563,106.3461314,402.5084422,,26.28,106.11,35.66157905,,,,,,,
74,29.42883288,-153.6284527,402.4026245,,29.67,-153.89,36.8675152,,,,,,,
76,-46.78741054,-100.8827294,424.2306388,,-46.63,-101.35,39.69530825,,,,,,,
78,-4.481714141,-11.80599754,406.1974417,,-4.79,-12.03,42.32561174,,,,,,,
80,50.46006562,68.82303153,405.0766798,,50.55,68.22,43.80371931,,,,,,,
82,-21.63078865,128.9172986,411.9868865,,-21.31,128.62,47.10391655,,,,,,,
84,-34.36247383,-132.3147725,418.3948881,,-34.67,-132.71,49.80515598,,,,,,,
86,43.39154431,-82.19474379,404.1891639,,43.14,-82.73,51.58164608,,,,,,,
88,9.652630863,11.54950925,402.6826025,,10.03,11.25,53.26832062,,,,,,,
90,-51.61000761,85.42613335,426.5454079,,-51.66,84.61,56.59897503,,,,,,,
92,16.11841575,151.3895125,402.7955105,,15.7,151.04,59.67876775,,,,,,,
94,38.63808984,-111.231516,403.1169622,,38.97,-111.79,60.86145969,,,,,,,
96,-39.61642834,-62.10498794,420.4622119,,-39.27,-62.7,63.98791043,,,,,,,
98,-15.29424131,34.32514325,410.0214671,,-15.77,33.93,67.75481196,,,,,,,
100,51.71602435,101.79259,405.3188485,,51.67,100.8,68.60678172,,,,,,,
102,-11.03069574,174.5799492,407.4634234,,-10.52,174.17,72.31886205,,,,,,,
104,-42.72989115,-91.36962981,422.5156072,,-43.1,-92.14,75.02876557,,,,,,,
106,35.13532672,-41.61343775,403.3570952,,34.67,-42.24,77.08432634,,,,,,,
108,20.31719095,57.32356254,401.68169,,20.86,56.82,79.94109936,,,,,,,
110,-50.79416939,118.4872589,425.9525282,,-50.64,117.34,82.56880954,,,,,,,
112,5.340060329,-162.5149917,404.2796656,,4.72,-162.99,86.72997122,,,,,,,
114,46.08837059,-72.05479033,404.1162822,,46.44,-73.08,87.97576303,,,,,,,
116,-30.65610084,-19.92663662,415.7196567,,-30.08,-20.6,90.97738977,,,,,,,
118,-25.65682348,79.56430969,414.5269203,,-26.29,78.92,95.42160919,,,,,,,
120,48.87333247,135.5918304,405.0381386,,48.56,134.36,96.85471224,,,,,,,
