T since,X,Y,Z,Radius,,,SGP4 Test,,
0,-1729.134531,6416.555629,-1381.434387,6787.521884,,,1 25544U 98067A   16302.21085648  .00005394  00000-0  87933-4 0  9991,,
1,-2024.916882,6395.409958,-1030.109916,6786.949487,,,2 25544  51.6438 114.5570 0007060 117.7444 227.3654 15.54359703 25674,,
2,-2311.396557,6344.883186,-674.0395648,6786.341136,,,Singapore UTC+8:,,28/10/2016 13:03
3,-2587.253596,6265.196846,-314.8627114,6785.699022,,,,,
4,-2851.216204,6156.70739,45.76571848,6785.025735,,,,,
5,-3102.066767,6019.904722,406.1829876,6784.324263,,,,,
6,-3338.647628,5855.410074,764.7263443,6783.597976,,,,,
7,-3559.866571,5663.973238,1119.740838,6782.850609,,,,,
8,-3764.70201,5446.46916,1469.587108,6782.086242,,,,,
9,-3952.207821,5203.893918,1812.649109,6781.309266,,,,,
10,-4121.517819,4937.360107,2147.341721,6780.524347,,,,,
11,-4271.84984,4648.091651,2472.118213,6779.736389,,,,,
12,-4402.509413,4337.418076,2785.477512,6778.950484,,,,,
13,-4512.893,4006.768282,3085.971241,6778.171863,,,,,
14,-4602.490796,3657.663838,3372.2105,6777.405841,,,,,
15,-4670.889071,3291.711849,3642.872337,6776.657766,,,,,
16,-4717.772049,2910.597429,3896.705901,6775.932953,,,,,
17,-4742.923324,2516.075821,4132.538228,6775.23663,,,,,
18,-4746.226795,2109.964215,4349.279649,6774.573879,,,,,
19,-4727.667143,1694.133289,4545.928798,6773.949575,,,,,
20,-4687.329826,1270.498533,4721.577186,6773.368331,,,,,
21,-4625.400626,841.0113914,4875.413347,6772.834444,,,,,
22,-4542.164726,407.6502576,5006.726515,6772.351846,,,,,
23,-4438.005351,-27.58862668,5114.90985,6771.924055,,,,,
24,-4313.401964,-462.7003351,5199.46318,6771.554139,,,,,
25,-4168.928032,-895.6804429,5259.995256,6771.244678,,,,,
26,-4005.248387,-1324.534198,5296.225529,6770.997735,,,,,
27,-3823.116171,-1747.285642,5307.985419,6770.814839,,,,,
28,-3623.369404,-2161.986641,5295.219098,6770.696964,,,,,
29,-3406.927165,-2566.725798,5257.983765,6770.644526,,,,,
30,-3174.785418,-2959.6372,5196.449423,6770.657384,,,,,
31,-2928.012496,-3338.908984,5110.898154,6770.734844,,,,,
32,-2667.744252,-3702.791667,5001.722894,6770.875677,,,,,
