T since,Xdot,Ydot,Zdot,,,SGP4 Test,,
0,-4.501968551,-1.569307123,6.002996173,,,1 25544U 98067A   16302.21085648  .00005394  00000-0  87933-4 0  9991,,
1,-4.293421204,-2.04564481,6.013344125,,,2 25544  51.6438 114.5570 0007060 117.7444 227.3654 15.54359703 25674,,
2,-4.065064337,-2.512716043,5.995957879,,,Singapore UTC+8:,,28/10/2010 13:03
3,-3.817943811,-2.968353321,5.950902362,,,,,
4,-3.553194487,-3.410440653,5.878372676,,,,,
5,-3.272034794,-3.836924009,5.778693316,,,,,
6,-2.975760824,-4.245821423,5.652316683,,,,,
7,-2.665740014,-4.63523271,5.499820901,,,,,
8,-2.343404454,-5.003348703,5.321906948,,,,,
9,-2.010243876,-5.348459976,5.119395146,,,,,
10,-1.667798377,-5.668964976,4.893221033,,,,,
11,-1.317650917,-5.963377557,4.644430652,,,,,
12,-0.961419671,-6.230333842,4.374175317,,,,,
13,-0.600750256,-6.468598426,4.083705887,,,,,
14,-0.2373079,-6.67706987,3.774366595,,,,,
15,0.1272304,-6.854785504,3.447588494,,,,,
16,0.491183708,-7.000925519,3.104882552,,,,,
17,0.8528749,-7.114816355,2.747832453,,,,,
18,1.210638334,-7.195933406,2.378087136,,,,,
19,1.562827386,-7.243903037,1.997353125,,,,,
20,1.907821841,-7.258503932,1.607386674,,,,,
21,2.24403511,-7.239667807,1.209985774,,,,,
22,2.569921264,-7.187479469,0.806982029,,,,,
23,2.883981862,-7.102176274,0.400232458,,,,,
24,3.184772557,-6.984146969,-0.008388787,,,,,
25,3.470909487,-6.833929941,-0.416998743,,,,,
26,3.741075406,-6.652210883,-0.823713989,,,,,
27,3.994025578,-6.439819872,-1.226659011,,,,,
28,4.228593389,-6.197727873,-1.623974563,,,,,
29,4.443695679,-5.927042666,-2.013825996,,,,,
30,4.638337771,-5.629004185,-2.394411544,,,,,
31,4.811618172,-5.30497929,-2.76397054,,,,,
32,4.962732928,-4.956455946,-3.120791522,,,,,
33,5.090979594,-4.585036825,-3.463220223,,,,,
34,5.195760814,-4.192432335,-3.789667388,,,,,
35,5.276587455,-3.780453072,-4.098616378,,,,,
36,5.333081274,-3.351001722,-4.388630545,,,,,
37,5.364977099,-2.906064424,-4.65836029,,,,,
38,5.372124469,-2.447701624,-4.906549792,,,,,
39,5.354488728,-1.978038446,-5.132043337,,,,,
40,5.31215153,-1.499254639,-5.333791198,,,,,
41,5.245310749,-1.013574132,-5.510855025,,,,,
42,5.154279766,-0.523254266,-5.662412675,,,,,
43,5.039486125,-0.030574764,-5.787762469,,,,,
44,4.901469561,0.462173489,-5.88632679,,,,,
45,4.740879394,0.952699776,-5.957655032,,,,,
46,4.55847131,1.438724914,-6.001425835,,,,,
47,4.355103537,1.917992567,-6.017448598,,,,,
48,4.131732446,2.388280418,-6.005664261,,,,,
49,3.889407616,2.847411135,-5.966145335,,,,,
50,3.629266388,3.293263023,-5.899095198,,,,,
51,3.352527972,3.723780311,-5.804846661,,,,,
52,3.060487135,4.136982991,-5.683859823,,,,,
53,2.754507547,4.530976138,-5.536719256,,,,,
54,2.436014813,4.903958673,-5.36413053,,,,,
55,2.106489281,5.254231512,-5.16691615,,,,,
56,1.767458649,5.580205059,-4.946010928,,,,,
57,1.420490459,5.880406022,-4.702456853,,,,,
58,1.0671845,6.15348354,-4.4373975,,,,,
59,0.709165204,6.398214591,-4.152072051,,,,,
60,0.348074047,6.613508709,-3.847808958,,,,,
61,-0.014437975,6.798411995,-3.526019318,,,,,
62,-0.376717776,6.952110444,-3.188190001,,,,,
63,-0.737117478,7.073932614,-2.835876578,,,,,
64,-1.094001558,7.16335165,-2.470696096,,,,,
65,-1.445753816,7.219986698,-2.094319725,,,,,
66,-1.790784153,7.243603732,-1.708465325,,,,,
67,-2.127535159,7.234115822,-1.314889944,,,,,
68,-2.454488478,7.191582873,-0.915382278,,,,,
69,-2.770170983,7.116210848,-0.511755109,,,,,
70,-3.073160723,7.008350514,-0.105837725,,,,,
71,-3.362092668,6.868495705,0.300531652,,,,,
72,-3.635664236,6.697281127,0.705513447,,,,,
73,-3.892640612,6.495479707,1.107274287,,,,,
74,-4.131859843,6.263999496,1.503994556,,,,,
75,-4.352237716,6.003880106,1.893875921,,,,,
76,-4.552772402,5.716288696,2.275148835,,,,,
77,-4.732548856,5.402515482,2.646079999,,,,,
78,-4.890742963,5.063968774,3.004979776,,,,,
79,-5.026625401,4.70216952,3.350209543,,,,,
80,-5.139565205,4.318745351,3.680188941,,,,,
81,-5.229033003,3.915424122,3.993403023,,,,,
82,-5.294603895,3.494026936,4.288409243,,,,,
83,-5.335959945,3.056460668,4.563844269,,,,,
84,-5.352892255,2.604709974,4.818430567,,,,,
85,-5.345302584,2.14082882,5.050982715,,,,,
86,-5.313204485,1.66693153,5.260413403,,,,,
87,-5.256723928,1.185183406,5.445739065,,,,,
88,-5.176099385,0.69779093,5.606085091,,,,,
89,-5.071681351,0.206991619,5.740690578,,,,,
90,-4.94393128,-0.284956433,5.848912561,,,,,
91,-4.793419935,-0.775785253,5.930229683,,,,,
92,-4.620825134,-1.263227874,5.984245265,,,,,
93,-4.426928901,-1.745029313,6.010689732,,,,,
94,-4.212614023,-2.218957592,6.009422375,,,,,
95,-3.978860036,-2.682814704,5.980432415,,,,,
96,-3.726738658,-3.134447445,5.923839357,,,,,
97,-3.457408699,-3.57175805,5.839892637,,,,,
98,-3.172110481,-3.992714533,5.728970542,,,,,
99,-2.872159812,-4.395360673,5.591578427,,,,,
100,-2.558941561,-4.77782557,5.428346244,,,,,
101,-2.233902878,-5.138332709,5.240025404,,,,,
102,-1.898546106,-5.475208485,5.027484996,,,,,
103,-1.554421458,-5.786890128,4.791707418,,,,,
104,-1.203119484,-6.071932998,4.533783439,,,,,
105,-0.846263401,-6.32901722,4.254906751,,,,,
106,-0.485501325,-6.55695363,3.956368055,,,,,
107,-0.122498464,-6.754689032,3.639548727,,,,,
108,0.241070705,-6.921310736,3.305914103,,,,,
109,0.603530208,-7.056050408,2.957006456,,,,,
110,0.963210284,-7.158287209,2.594437678,,,,,
111,1.318454981,-7.227550253,2.219881726,,,,,
112,1.667629628,-7.263520384,1.835066878,,,,,
113,2.009128149,-7.266031301,1.441767808,,,,,
114,2.341380198,-7.235070032,1.041797542,,,,,
115,2.662858116,-7.17077678,0.636999301,,,,,
116,2.972083666,-7.073444163,0.229238259,,,,,
117,3.26763456,-6.943515838,-0.179606747,,,,,
118,3.548150756,-6.781584548,-0.587651565,,,,,
119,3.812340502,-6.588389569,-0.993015079,,,,,
120,4.058986135,-6.364813588,-1.39382758,,,,,
121,4.286949595,-6.11187899,-1.788239112,,,,,
122,4.495177663,-5.830743576,-2.174427788,,,,,
123,4.682706877,-5.522695687,-2.550608049,,,,,
124,4.848668125,-5.189148757,-2.915038836,,,,,
125,4.992290876,-4.831635278,-3.266031659,,,,,
126,5.112907031,-4.451800174,-3.601958509,,,,,
127,5.209954356,-4.051393618,-3.921259597,,,,,
128,5.282979472,-3.632263261,-4.222450869,,,,,
129,5.331640369,-3.196345925,-4.504131251,,,,,
130,5.355708411,-2.745658753,-4.76498958,,,,,
131,5.355069809,-2.282289875,-5.00381117,,,,,
132,5.329726524,-1.808388594,-5.219483961,,,,,
133,5.279796583,-1.326155163,-5.411004199,,,,,
134,5.205513789,-0.837830199,-5.5774816,,,,,
135,5.107226808,-0.345683788,-5.718143947,,,,,
136,4.985397624,0.147995638,-5.832341074,,,,,
137,4.840599362,0.640912599,-5.919548201,,,,,
138,4.673513493,1.130775927,-5.979368581,,,,,
139,4.484926417,1.615310149,-6.011535444,,,,,
140,4.275725459,2.09226677,-6.015913201,,,,,
141,4.046894307,2.559435399,-5.992497909,,,,,
142,3.799507914,3.01465462,-5.941417002,,,,,
143,3.53472692,3.455822533,-5.86292827,,,,,
144,3.253791635,3.880906898,-5.75741813,,,,,
145,2.958015627,4.287954797,-5.625399196,,,,,
146,2.648778981,4.675101773,-5.467507181,,,,,
147,2.327521283,5.040580376,-5.284497172,,,,,
148,1.995734371,5.382728082,-5.077239323,,,,,
149,1.654954936,5.69999455,-4.846714011,,,,,
150,1.306757003,5.990948196,-4.594006503,,,,,
151,0.952744358,6.254282057,-4.320301203,,,,,
152,0.594542971,6.488818958,-4.026875506,,,,,
153,0.233793445,6.693515967,-3.71509334,,,,,
154,-0.127856453,6.867468168,-3.38639843,,,,,
155,-0.488759149,7.009911746,-3.042307335,,,,,
156,-0.847274492,7.120226422,-2.684402307,,,,,
157,-1.201776816,7.197937262,-2.314324005,,,,,
158,-1.550661823,7.242715878,-1.933764109,,,,,
159,-1.892353282,7.254381052,-1.54445785,,,,,
160,-2.225309522,7.232898818,-1.148176491,,,,,
161,-2.548029723,7.178382018,-0.746719775,,,,,
162,-2.859059998,7.091089352,-0.341908354,,,,,
163,-3.156999267,6.971423957,0.064423791,,,,,
164,-3.440504919,6.819931503,0.470436925,,,,,
165,-3.708298268,6.637297841,0.87429313,,,,,
166,-3.959169791,6.424346189,1.274163863,,,,,
167,-4.191984153,6.182033871,1.668237498,,,,,
168,-4.405685009,5.911448589,2.054726844,,,,,
169,-4.59929957,5.613804238,2.431876632,,,,,
170,-4.771942926,5.290436242,2.797970959,,,,,
171,-4.922822103,4.942796405,3.15134068,,,,,
172,-5.051239833,4.57244727,3.490370714,,,,,
173,-5.156598022,4.181055972,3.813507263,,,,,
174,-5.238400872,3.770387577,4.119264889,,,,,
175,-5.296257647,3.342297916,4.40623344,,,,,
176,-5.329885032,2.8987259,4.673084767,,,,,
177,-5.339109065,2.441685338,4.918579202,,,,,
178,-5.323866611,1.973256272,5.141571745,,,,,
179,-5.28420633,1.495575842,5.341017916,,,,,
180,-5.220289138,1.010828733,5.515979217,,,,,
181,-5.132388108,0.521237225,5.665628154,,,,,
182,-5.020887807,0.029050902,5.789252775,,,,,
183,-4.886283048,-0.463463916,5.886260675,,,,,
184,-4.729177044,-0.954034971,5.956182414,,,,,
185,-4.550278969,-1.440395008,5.998674323,,,,,
186,-4.350400915,-1.920292805,6.013520652,,,,,
187,-4.130454277,-2.391504193,6.000635047,,,,,
188,-3.891445558,-2.851843001,5.960061311,,,,,
189,-3.634471643,-3.299171844,5.891973468,,,,,
190,-3.360714557,-3.731412667,5.796675099,,,,,
191,-3.071435752,-4.14655698,5.674597971,,,,,
192,-2.767969964,-4.542675706,5.52629996,,,,,
193,-2.451718683,-4.917928573,5.352462299,,,,,
